nomor_perkara,judul,tahun,amar_putusan,url_detail,kategori_amar,jenis_Lainnya,jenis_PHPU,jenis_Pengujian UU,jenis_Sengketa Lembaga,y_dikabulkan
PUT-0001/2023,Perkara Nomor 1,2022,Tidak Diterima,https://jdih.mkri.id/detail/1,Tidak Diterima,False,False,True,False,0
PUT-0002/2023,Perkara Nomor 2,2021,Tidak Diterima,https://jdih.mkri.id/detail/2,Tidak Diterima,False,True,False,False,0
PUT-0003/2023,Perkara Nomor 3,2021,Tidak Diterima,https://jdih.mkri.id/detail/3,Tidak Diterima,False,False,True,False,0
PUT-0004/2023,Perkara Nomor 4,2018,Dikabulkan,https://jdih.mkri.id/detail/4,Dikabulkan,False,True,False,False,1
PUT-0005/2023,Perkara Nomor 5,2021,Ditolak,https://jdih.mkri.id/detail/5,Ditolak,False,False,True,False,0
PUT-0006/2023,Perkara Nomor 6,2019,Tidak Diterima,https://jdih.mkri.id/detail/6,Tidak Diterima,False,False,True,False,0
PUT-0007/2023,Perkara Nomor 7,2019,Dikabulkan,https://jdih.mkri.id/detail/7,Dikabulkan,False,False,True,False,1
PUT-0008/2023,Perkara Nomor 8,2022,Ditolak,https://jdih.mkri.id/detail/8,Ditolak,False,True,False,False,0
PUT-0009/2023,Perkara Nomor 9,2018,Dikabulkan,https://jdih.mkri.id/detail/9,Dikabulkan,False,True,False,False,1
PUT-0010/2023,Perkara Nomor 10,2020,Dikabulkan,https://jdih.mkri.id/detail/10,Dikabulkan,False,False,True,False,1
PUT-0011/2023,Perkara Nomor 11,2021,Dikabulkan,https://jdih.mkri.id/detail/11,Dikabulkan,False,True,False,False,1
PUT-0012/2023,Perkara Nomor 12,2022,Tidak Diterima,https://jdih.mkri.id/detail/12,Tidak Diterima,False,False,True,False,0
PUT-0013/2023,Perkara Nomor 13,2020,Ditolak,https://jdih.mkri.id/detail/13,Ditolak,False,False,True,False,0
PUT-0014/2023,Perkara Nomor 14,2021,Tidak Diterima,https://jdih.mkri.id/detail/14,Tidak Diterima,True,False,False,False,0
PUT-0015/2023,Perkara Nomor 15,2021,Ditolak,https://jdih.mkri.id/detail/15,Ditolak,False,False,True,False,0
PUT-0016/2023,Perkara Nomor 16,2021,Tidak Diterima,https://jdih.mkri.id/detail/16,Tidak Diterima,True,False,False,False,0
PUT-0017/2023,Perkara Nomor 17,2022,Ditolak,https://jdih.mkri.id/detail/17,Ditolak,False,False,True,False,0
PUT-0018/2023,Perkara Nomor 18,2022,Dikabulkan,https://jdih.mkri.id/detail/18,Dikabulkan,False,False,True,False,1
PUT-0019/2023,Perkara Nomor 19,2022,Ditolak,https://jdih.mkri.id/detail/19,Ditolak,True,False,False,False,0
PUT-0020/2023,Perkara Nomor 20,2023,Ditolak,https://jdih.mkri.id/detail/20,Ditolak,False,True,False,False,0
PUT-0021/2023,Perkara Nomor 21,2022,Ditolak,https://jdih.mkri.id/detail/21,Ditolak,False,False,True,False,0
PUT-0022/2023,Perkara Nomor 22,2020,Tidak Diterima,https://jdih.mkri.id/detail/22,Tidak Diterima,True,False,False,False,0
PUT-0023/2023,Perkara Nomor 23,2019,Ditolak,https://jdih.mkri.id/detail/23,Ditolak,False,True,False,False,0
